id,colony,category,zone_no,ward_no,ward_name,rates,rates_no,zone_name
1,Aali,H,4,207,Madanpur Khadar,"Rs. 23,280 Per Square Meter",23280,Central
2,AB Extn Colony,F,8,37,Sultanpuri East,"Rs. 56,640 Per Square Meter",56640,Rohini
3,Abhey Garden,G,6,18,Libas Pur,Rs. 46200 Per Square Meter,46200,Civil Line
4,Abul Fazal Enclave,F,4,208,Savita Vihar,"Rs. 56,640 Per Square Meter",56640,Central
5,Acharya Niketan,F,1,220,Patparganj,"Rs. 56,640 Per Square Meter",56640,Shahadra South
6,Adarsh Bhawan coop. H.B. Society,E,10,103,Madipur A,"Rs. 70,070 Per Square Meter",70070,West
7,Adarsh Nagar,E,6,14,Adarsh Nagar,"Rs. 70,070 Per Square Meter",70070,Civil Line
8,Adarsh Nagar Bindapur Extn,G,9,148,Madhu Vihar,Rs. 46200 Per Square Meter,46200,Nazafgarh
9,Adarsh Nagar Extension,F,6,14,Adarsh Nagar,"Rs. 56,640 Per Square Meter",56640,Civil Line
10,AdhChini,E,3,161,Malviya Nagar,"Rs. 70,070 Per Square Meter",70070,South
11,AGCR Enclave,D,1,228,Preet Vihar,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
12,Ahata Thakur Das Sarai Rohilla,D,12,91,Karol Bagh,"Rs. 1,27,680 Per Square Meter",127680,Karol Bagh
13,Ahera Kishan,G,4,199,Tekhand,Rs. 46200 Per Square Meter,46200,Central
14,Air India Colony,F,9,143,Kapashera,"Rs. 56,640 Per Square Meter",56640,Nazafgarh
15,Ajanta Park,D,10,114,Tilak Nagar,"Rs. 1,27,680 Per Square Meter",127680,West
16,Ajay Enclave,E,10,114,Tilak Nagar,"Rs. 70,070 Per Square Meter",70070,West
17,Ajay Nagar Nangloi,G,10,44,Quammruddin Nagar,Rs. 46200 Per Square Meter,46200,West
18,Ajit Nagar,F,1,233,Dharam Pura,"Rs. 56,640 Per Square Meter",56640,Shahadra South
19,Ajmere Gate,E,5,83,Bazar Sita Ram,"Rs. 70,070 Per Square Meter",70070,City
20,Akal Garh,G,10,109,Janakpuri North,Rs. 46200 Per Square Meter,46200,West
21,Akash Vihar Ranhola,G,10,122,Hastsal,Rs. 46200 Per Square Meter,46200,West
22,Akbar Pur Majra,H,7,4,Bakhtawarpur,"Rs. 23,280 Per Square Meter",23280,Narela
23,Alaknanda,C,4,190,Chitranjan Park,"Rs. 1,59,840 Per Square Meter",159840,Central
24,Ali Extension,G,4,207,Madanpur Khadar,Rs. 46200 Per Square Meter,46200,Central
25,Aliganj,E,4,158,Kotla Mubarakpur,"Rs. 70,070 Per Square Meter",70070,Central
26,Alipur Village,H,7,3,Alipur,"Rs. 23,280 Per Square Meter",23280,Narela
27,"Adhyapak Nagar, Nangloi",G,10,43,Nangloi East,Rs. 46200 Per Square Meter,46200,West
28,"Agar Nagar, Mubarkapur Road",G,7,34,Nithari,Rs. 46200 Per Square Meter,46200,Narela
29,"Ahinsha Enclave, Mehrauli",F,3,170,Mehrauli I,"Rs. 56,640 Per Square Meter",56640,South
30,"Ajit Vihar, Burari",G,6,8,Jharoda,Rs. 46200 Per Square Meter,46200,Civil Line
31,Ali Vihar Badarpur,G,4,207,Madanpur Khadar,Rs. 46200 Per Square Meter,46200,Central
32,"Aman Puri, Najafgarh Road",G,10,43,Nangloi East,Rs. 46200 Per Square Meter,46200,West
33,Aman Vihar (Kailash Vihar),G,8,25,Pooth Kalan,Rs. 46200 Per Square Meter,46200,Rohini
34,Amar Colony,F,2,263,Saboli,"Rs. 56,640 Per Square Meter",56640,Shahadra North
35,"Amar Colony, Lajpat Nagar",D,4,160,Amar Colony,"Rs. 1,27,680 Per Square Meter",127680,Central
36,Amar Colony (Mundka),G,9,32,Nilothi,Rs. 46200 Per Square Meter,46200,Nazafgarh
37,"Amar Colony, Rohtak Road",G,9,32,Nilothi,Rs. 46200 Per Square Meter,46200,Nazafgarh
38,Amar Jyoti Kunj,G,1,220,Patparganj,Rs. 46200 Per Square Meter,46200,Shahadra South
39,Amar Mohalla,F,1,234,Gandhi Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
40,Amar Park,D,10,100,Karam Pura,"Rs. 1,27,680 Per Square Meter",127680,West
41,Amar Vihar,G,2,266,Karawal Nagar East,Rs. 46200 Per Square Meter,46200,Shahadra North
42,Amba Enclave,E,8,52,Naharpur,"Rs. 70,070 Per Square Meter",70070,Rohini
43,Ambarhai Village,G,9,136,Matiala,Rs. 46200 Per Square Meter,46200,Nazafgarh
44,Ambedkar Basti (Seelampur),G,2,251,New Usmanpur,Rs. 46200 Per Square Meter,46200,Shahadra North
45,Ambedkar Camp,G,1,219,Mayur Vihar Phase II,Rs. 46200 Per Square Meter,46200,Shahadra South
46,Ambedkar Nagar(East Delhi),G,2,261,Jiwanpur,Rs. 46200 Per Square Meter,46200,Shahadra North
47,Ambedkar Nagar (Jahangirpuri),G,8,54,Pitampura North,Rs. 46200 Per Square Meter,46200,Rohini
48,"Ambedkar Nagar, Shahdara",F,1,238,Jhilmil,"Rs. 56,640 Per Square Meter",56640,Shahadra South
49,Amber Vihar,G,10,44,Quammruddin Nagar,Rs. 46200 Per Square Meter,46200,West
50,Ambey Garden,G,10,44,Quammruddin Nagar,Rs. 46200 Per Square Meter,46200,West
51,Ambica Vihar,D,10,41,Guru Harkishan Nagar,"Rs. 1,27,680 Per Square Meter",127680,West
52,"Ambika Enclave, Kakraula",G,9,135,Kakrola,Rs. 46200 Per Square Meter,46200,Nazafgarh
53,"Ambika Vihar, Karawal Nagar",G,2,271,Karawal Nagar West,Rs. 46200 Per Square Meter,46200,Shahadra North
54,Ami Chand Khand,F,4,196,Kalkaji,"Rs. 56,640 Per Square Meter",56640,Central
55,Amrit Kaur Puri,F,12,94,West Patel Nagar,"Rs. 56,640 Per Square Meter",56640,Karol Bagh
56,Amrit Nagar,D,4,158,Kotla Mubarakpur,"Rs. 1,27,680 Per Square Meter",127680,Central
57,"Amrit Nagar, Shahdara",F,2,245,Durga Puri,"Rs. 56,640 Per Square Meter",56640,Shahadra North
58,Amrit Puri,E,4,194,East of Kailash,"Rs. 70,070 Per Square Meter",70070,Central
59,Amrit Puri Ranhola,G,10,121,Kanwar Singh Nagar,Rs. 46200 Per Square Meter,46200,West
60,"Anaj Mandi Market, Najafgarh",G,9,138,Najafgarh,Rs. 46200 Per Square Meter,46200,Nazafgarh
61,Anand Gram,F,3,174,Chhatarpur,"Rs. 56,640 Per Square Meter",56640,South
62,Anand Kunj,D,10,124,Vikas Nagar,"Rs. 1,27,680 Per Square Meter",127680,West
63,Anand Lok,B,4,159,Adnisganj,"Rs. 2,45,520 Per Square Meter",245520,Central
64,Anand Mohalla,F,1,234,Gandhi Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
65,Anand Nagar,F,12,74,Inder Lok Colony,"Rs. 56,640 Per Square Meter",56640,Karol Bagh
66,Anand Niketan,A,3,168,Nanak Pura,"Rs. 7,75,000 Per Square Meter",775000,South
67,Anand Parbat,F,12,74,Inder Lok Colony,"Rs. 56,640 Per Square Meter",56640,Karol Bagh
68,Anand Park Extn. Shakrawati,G,9,134,Nangli Sakravati,Rs. 46200 Per Square Meter,46200,Nazafgarh
69,Anand Pur Dham Karala,G,7,29,Karala,Rs. 46200 Per Square Meter,46200,Narela
70,Anand Ram Park,G,10,128,Bindapur,Rs. 46200 Per Square Meter,46200,West
71,Anand Vihar,D,1,225,Anand Vihar,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
72,"Anand Vihar Colony, Pooth Khurd",G,7,27,Begumpur,Rs. 46200 Per Square Meter,46200,Narela
73,"Anand Vihar, Gurpreet Nagar",G,9,136,Matiala,Rs. 46200 Per Square Meter,46200,Nazafgarh
74,Anand Vihar (Hari nagar),D,10,109,Janakpuri North,"Rs. 1,27,680 Per Square Meter",127680,West
75,"Anand Vihar, Nithari",G,8,35,Kirari Suleman Nagar,Rs. 46200 Per Square Meter,46200,Rohini
76,Anand Vihar (Rani Bagh),D,8,60,Saraswati Vihar,"Rs. 1,27,680 Per Square Meter",127680,Rohini
77,Anand Vihar Uttam Nagar,F,9,136,Matiala,"Rs. 56,640 Per Square Meter",56640,Nazafgarh
78,Anarkali Colony,F,1,232,Anarkali,"Rs. 56,640 Per Square Meter",56640,Shahadra South
79,Anarkali Garden,F,1,232,Anarkali,"Rs. 56,640 Per Square Meter",56640,Shahadra South
80,Anaz Mandi,F,1,237,Shahdara,"Rs. 56,640 Per Square Meter",56640,Shahadra South
81,Andha Mughal,E,11,75,Kishan Ganj,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
82,Andheria Mor,E,9,172,Kishangarh,"Rs. 70,070 Per Square Meter",70070,Nazafgarh
83,Andrews Ganj,B,4,159,Adnisganj,"Rs. 2,45,520 Per Square Meter",245520,Central
84,"Ankur Enclave, Karawal Nagar",G,2,271,Karawal Nagar West,Rs. 46200 Per Square Meter,46200,Shahadra North
85,Anna Nagar,D,5,154,Nizamuddin,"Rs. 1,27,680 Per Square Meter",127680,City
86,Anupam Apartment,C,3,173,Said-ul-Ajaib,"Rs. 1,59,840 Per Square Meter",159840,South
87,Anup Nagar Uttam Nagar,G,10,128,Bindapur,Rs. 46200 Per Square Meter,46200,West
88,Anup Vihar,F,2,263,Saboli,"Rs. 56,640 Per Square Meter",56640,Shahadra North
89,Arab Ki Sarai,E,5,154,Nizamuddin,"Rs. 70,070 Per Square Meter",70070,City
90,Aram Bagh,D,11,90,Model Basti,"Rs. 1,27,680 Per Square Meter",127680,Sadar Paharganj
91,Aram Nagar,E,11,87,Ram Nagar,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
92,Aram Park,G,1,230,Geeta Colony,Rs. 46200 Per Square Meter,46200,Shahadra South
93,Arihant Nagar,E,10,103,Madipur A,"Rs. 70,070 Per Square Meter",70070,West
94,Arjan Park,F,1,221,Kishan Ganj,"Rs. 56,640 Per Square Meter",56640,Shahadra South
95,Arjun Garh(Bijwasan),E,3,174,Chhatarpur,"Rs. 70,070 Per Square Meter",70070,South
96,Arjun Garh(Chattarpur),E,3,175,Aya Nagar,"Rs. 70,070 Per Square Meter",70070,South
97,Arjun Mohalla,F,1,234,Gandhi Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
98,Arjun Nagar,E,3,163,Safdarjang Enclave,"Rs. 70,070 Per Square Meter",70070,South
99,Arjun Nagar East,F,1,225,Anand Vihar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
100,Arjun Nagar(Sewa Nagar),D,4,157,Kasturba Nagar,"Rs. 1,27,680 Per Square Meter",127680,Central
101,Arjun Nagar West,F,1,229,Krishna Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
102,Arjun Park Colony Najafgarh,G,9,139,Dichaon Kalan,Rs. 46200 Per Square Meter,46200,Nazafgarh
103,Aruna Nagar,F,6,78,Majnu Ka Tilla,"Rs. 56,640 Per Square Meter",56640,Civil Line
104,Arunodya Society,F,10,124,Vikas Nagar,"Rs. 56,640 Per Square Meter",56640,West
105,Arvind Enclave,G,9,32,Nilothi,Rs. 46200 Per Square Meter,46200,Nazafgarh
106,Arvind Nagar,F,2,255,Ghonda,"Rs. 56,640 Per Square Meter",56640,Shahadra North
107,Arya Bhatt Enclave,C,8,66,Sawan Park,"Rs. 1,59,840 Per Square Meter",159840,Rohini
108,Arya Mohalla,G,10,43,Nangloi East,Rs. 46200 Per Square Meter,46200,West
109,Arya Nagar (Anand Vihar),G,1,228,Preet Vihar,Rs. 46200 Per Square Meter,46200,Shahadra South
110,Arya Nagar (Pahar Ganj),E,11,89,Paharganj,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
111,Arya pura,G,6,9,Malkaganj,Rs. 46200 Per Square Meter,46200,Civil Line
112,"Arya Samaj Road, Uttam Nagar",G,9,119,Milap Nagar,Rs. 46200 Per Square Meter,46200,Nazafgarh
113,Asalatpur,F,10,117,Janak Puri West,"Rs. 56,640 Per Square Meter",56640,West
114,Asalatpur Khawad,H,9,133,Chhawala,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
115,Asha park,E,10,109,Janakpuri North,"Rs. 70,070 Per Square Meter",70070,West
116,"Asha Vihar, Kamal Pur, Burari",G,6,6,Mukund Pur,Rs. 46200 Per Square Meter,46200,Civil Line
117,Ashoka Pahari,E,11,90,Model Basti,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
118,Ashoka Park Main,F,8,62,Rampura,"Rs. 56,640 Per Square Meter",56640,Rohini
119,Ashok Mohalla,G,10,43,Nangloi East,Rs. 46200 Per Square Meter,46200,West
120,"Ashok Mohalla , Shahdara",F,1,235,Azad Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
121,Ashok Nagar Extn. Mandoli Road,F,2,264,Harsh Vihar,"Rs. 56,640 Per Square Meter",56640,Shahadra North
122,"Ashok Nagar, Nanad Nagri",G,2,246,Ashok Nagar,Rs. 46200 Per Square Meter,46200,Shahadra North
123,"Ashok Nagar, Tihar",E,10,114,Tilak Nagar,"Rs. 70,070 Per Square Meter",70070,West
124,"Ashok Niketan, Anand Vihar",D,1,225,Anand Vihar,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
125,"Ashok Niketan, Naraina",D,12,152,Naraina,"Rs. 1,27,680 Per Square Meter",127680,Karol Bagh
126,Ashok Park Extn.,E,10,99,Moti Nagar,"Rs. 70,070 Per Square Meter",70070,West
127,Ashok Vihar,D,8,68,Ashok Vihar,"Rs. 1,27,680 Per Square Meter",127680,Rohini
128,Asian Games Village Complex,A,3,191,Shahpur Jat,"Rs. 7,75,000 Per Square Meter",775000,South
129,Asola,H,3,176,Bhati,"Rs. 23,280 Per Square Meter",23280,South
130,Asola Extn,G,3,176,Bhati,Rs. 46200 Per Square Meter,46200,South
131,Auchandi,H,7,28,Bawana,"Rs. 23,280 Per Square Meter",23280,Narela
132,Avtar Enclave,D,10,58,Paschim Vihar North,"Rs. 1,27,680 Per Square Meter",127680,West
133,Avtar Vihar,G,10,121,Kanwar Singh Nagar,Rs. 46200 Per Square Meter,46200,West
134,Aya Nagar Colony,G,3,175,Aya Nagar,Rs. 46200 Per Square Meter,46200,South
135,Aya Nagar Village,H,3,175,Aya Nagar,"Rs. 23,280 Per Square Meter",23280,South
136,Ayodhya Enclave,E,8,50,Rohini Central,"Rs. 70,070 Per Square Meter",70070,Rohini
137,Azad Camp,G,4,199,Tekhand,Rs. 46200 Per Square Meter,46200,Central
138,Azad Market,E,11,76,Deputy Ganj,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
139,Azad Nagar(Kishan Ganj),F,11,75,Kishan Ganj,"Rs. 56,640 Per Square Meter",56640,Sadar Paharganj
140,Azad Nagar(Krishna Nagar),F,1,235,Azad Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
141,"Azad Palace, Burari",G,6,18,Libas Pur,Rs. 46200 Per Square Meter,46200,Civil Line
142,Azadpur,G,6,14,Adarsh Nagar,Rs. 46200 Per Square Meter,46200,Civil Line
143,Azadpur Commercial Complex,E,6,14,Adarsh Nagar,"Rs. 70,070 Per Square Meter",70070,Civil Line
144,Azim Dairy,G,4,206,Okhla,Rs. 46200 Per Square Meter,46200,Central
145,"Baba Hari Dass Enclave, Najafgarh",G,9,139,Dichaon Kalan,Rs. 46200 Per Square Meter,46200,Nazafgarh
146,"Baba Hari Dass Nagar, Tikri Border,",G,9,30,Mundaka,Rs. 46200 Per Square Meter,46200,Nazafgarh
147,Baba Hari Dass Nagar(Tikri Khurd),G,7,1,Narela,Rs. 46200 Per Square Meter,46200,Narela
148,"Baba Mela Enclave , Badar pur",G,4,203,Badarpur,Rs. 46200 Per Square Meter,46200,Central
149,"Baba nagar/ Colony, Burari",G,6,7,Burari,Rs. 46200 Per Square Meter,46200,Civil Line
150,Babu Jagjiwan Ram Colony,G,7,2,Bankner,Rs. 46200 Per Square Meter,46200,Narela
151,Babu Nagar,G,2,266,Karawal Nagar East,Rs. 46200 Per Square Meter,46200,Shahadra North
152,Badarpur,G,4,199,Tekhand,Rs. 46200 Per Square Meter,46200,Central
153,Badarpur Extn.,G,4,204,Molarband,Rs. 46200 Per Square Meter,46200,Central
154,Badhosra,H,9,140,Khera,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
155,Badli Industrial Area,F,8,49,Rohini North,"Rs. 56,640 Per Square Meter",56640,Rohini
156,Badli Village,G,6,17,Samaypur Badli,Rs. 46200 Per Square Meter,46200,Civil Line
157,Badusarai,H,9,133,Chhawala,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
158,Bagdola Village,G,9,141,Bijwasan,Rs. 46200 Per Square Meter,46200,Nazafgarh
159,Baggichi Madhodas,E,5,80,Chandni Chowk,"Rs. 70,070 Per Square Meter",70070,City
160,Bagh Raoji Colony,F,11,90,Model Basti,"Rs. 56,640 Per Square Meter",56640,Sadar Paharganj
161,Bagiabad(Badarpur),H,6,8,Jharoda,"Rs. 23,280 Per Square Meter",23280,Civil Line
162,Bagichi Allauddin,E,11,88,Qasabpura,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
163,Bagichi Peerji,E,11,76,Deputy Ganj,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
164,Bagichi Phool Singh,F,1,234,Gandhi Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
165,Bahar Garh,E,11,76,Deputy Ganj,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
166,Bahubali Enclave,D,1,225,Anand Vihar,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
167,Bahubali Extn,D,1,225,Anand Vihar,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
168,Bajaj Enclave,F,9,135,Kakrola,"Rs. 56,640 Per Square Meter",56640,Nazafgarh
169,Bajaj Enclave Uttam Nagar,G,10,121,Kanwar Singh Nagar,Rs. 46200 Per Square Meter,46200,West
170,Bakarwala,H,10,122,Hastsal,"Rs. 23,280 Per Square Meter",23280,West
171,Bakhtawar Pur,H,7,4,Bakhtawarpur,"Rs. 23,280 Per Square Meter",23280,Narela
172,Bakhtawarpur Extn,G,7,4,Bakhtawarpur,Rs. 46200 Per Square Meter,46200,Narela
173,Balaji Estate,B,4,196,Kalkaji,"Rs. 2,45,520 Per Square Meter",245520,Central
174,Balbir Nagar,G,3,176,Bhati,Rs. 46200 Per Square Meter,46200,South
175,Balbir nagar (90),G,2,260,Babar Pur,Rs. 46200 Per Square Meter,46200,Shahadra North
176,Balbir Nagar Extn.,G,2,260,Babar Pur,Rs. 46200 Per Square Meter,46200,Shahadra North
177,"Balbir Vihar, Kirari",G,8,25,Pooth Kalan,Rs. 46200 Per Square Meter,46200,Rohini
178,Baldev Park,F,1,232,Anarkali,"Rs. 56,640 Per Square Meter",56640,Shahadra South
179,"Baldev Park, Madan Pur Dabas",G,7,34,Nithari,Rs. 46200 Per Square Meter,46200,Narela
180,"Baldev Vihar, Karala Extn",G,7,29,Karala,Rs. 46200 Per Square Meter,46200,Narela
181,Bali Nagar,D,10,101,Raja Garden,"Rs. 1,27,680 Per Square Meter",127680,West
182,Baljit Nagar,F,12,93,Baljit Nagar,"Rs. 56,640 Per Square Meter",56640,Karol Bagh
183,Baljit Vihar,G,8,33,Pratap Vihar,Rs. 46200 Per Square Meter,46200,Rohini
184,Balmiki Basti,D,5,153,Daryaganj,"Rs. 1,27,680 Per Square Meter",127680,City
185,Balmiki Colony,D,12,149,Rajinder Nagar,"Rs. 1,27,680 Per Square Meter",127680,Karol Bagh
186,Bal Mukund Khand,F,4,196,Kalkaji,"Rs. 56,640 Per Square Meter",56640,Central
187,Balswa Jahangir,G,6,20,Jahangir Puri,Rs. 46200 Per Square Meter,46200,Civil Line
188,Balswa Jahangir Village,H,6,20,Jahangir Puri,"Rs. 23,280 Per Square Meter",23280,Civil Line
189,Bal Udyan Marg,G,9,119,Milap Nagar,Rs. 46200 Per Square Meter,46200,Nazafgarh
190,Bamnoli Village,G,9,141,Bijwasan,Rs. 46200 Per Square Meter,46200,Nazafgarh
191,Banarsi Das Estate,C,6,10,Timarpur,"Rs. 1,59,840 Per Square Meter",159840,Civil Line
192,Bandar Wali Khui,D,10,97,Kirti Nagar,"Rs. 1,27,680 Per Square Meter",127680,West
193,Bandhu Vihar,G,9,136,Matiala,Rs. 46200 Per Square Meter,46200,Nazafgarh
194,"Bank Colony, Mandoli",G,2,264,Harsh Vihar,Rs. 46200 Per Square Meter,46200,Shahadra North
195,"Bank Enclave, Geeta Colony",E,1,221,Kishan Ganj,"Rs. 70,070 Per Square Meter",70070,Shahadra South
196,Bankkauli,H,7,4,Bakhtawarpur,"Rs. 23,280 Per Square Meter",23280,Narela
197,Bankner,H,7,2,Bankner,"Rs. 23,280 Per Square Meter",23280,Narela
198,Bankur Vihar,F,2,244,Sunder Nagari,"Rs. 56,640 Per Square Meter",56640,Shahadra North
199,"Bapa Nagar, Dev Nagar",F,12,92,Dev Nagar,"Rs. 56,640 Per Square Meter",56640,Karol Bagh
200,Bapraula,H,10,122,Hastsal,"Rs. 23,280 Per Square Meter",23280,West
201,"Bapraula Extn,Najafgarh",G,9,139,Dichaon Kalan,Rs. 46200 Per Square Meter,46200,Nazafgarh
202,Bapu Park,E,4,158,Kotla Mubarakpur,"Rs. 70,070 Per Square Meter",70070,Central
203,Baqar Garh(Begampur),H,9,140,Khera,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
204,Bara Chamarwara,E,5,80,Chandni Chowk,"Rs. 70,070 Per Square Meter",70070,City
205,Baradari,F,5,86,Ballimaran,"Rs. 56,640 Per Square Meter",56640,City
206,Bara Hindu Rao,F,11,76,Deputy Ganj,"Rs. 56,640 Per Square Meter",56640,Sadar Paharganj
207,"Bara Mohalla, Khanpur",F,3,181,Khanpur,"Rs. 56,640 Per Square Meter",56640,South
208,Bara More Sarai,E,5,79,Jama Masjid,"Rs. 70,070 Per Square Meter",70070,City
209,Baraula Village,H,9,141,Bijwasan,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
210,Bari Wala Bagh,E,11,76,Deputy Ganj,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
211,Barwala Village,H,7,27,Begumpur,"Rs. 23,280 Per Square Meter",23280,Narela
212,"Basant Enclave, Ghevra Nizampur Road",G,9,30,Mundaka,Rs. 46200 Per Square Meter,46200,Nazafgarh
213,Basant Gaon,E,3,165,Vasant Vihar,"Rs. 70,070 Per Square Meter",70070,South
214,Basant Lok DDA Complex,A,3,165,Vasant Vihar,"Rs. 7,75,000 Per Square Meter",775000,South
215,"Basant Vihar, Ghevra",G,9,30,Mundaka,Rs. 46200 Per Square Meter,46200,Nazafgarh
216,Basi Darapur,G,10,101,Raja Garden,Rs. 46200 Per Square Meter,46200,West
217,Basti Bheekham Singh,G,1,226,Vishwas Nagar,Rs. 46200 Per Square Meter,46200,Shahadra South
218,Basti Harphool Singh,E,11,88,Qasabpura,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
219,Batla House,G,4,205,Zakir Nagar,Rs. 46200 Per Square Meter,46200,Central
220,Bawana Extn,G,7,28,Bawana,Rs. 46200 Per Square Meter,46200,Narela
221,Bawana Village,H,7,28,Bawana,"Rs. 23,280 Per Square Meter",23280,Narela
222,Bazid Pur Thakran,H,7,28,Bawana,"Rs. 23,280 Per Square Meter",23280,Narela
223,Beadonpura,D,12,91,Karol Bagh,"Rs. 1,27,680 Per Square Meter",127680,Karol Bagh
224,Bees Sutri Colony,G,9,136,Matiala,Rs. 46200 Per Square Meter,46200,Nazafgarh
225,Bees Sutri Harijan Basti,G,3,173,Said-ul-Ajaib,Rs. 46200 Per Square Meter,46200,South
226,Begampur,G,7,27,Begumpur,Rs. 46200 Per Square Meter,46200,Narela
227,Begam Vihar,G,7,27,Begumpur,Rs. 46200 Per Square Meter,46200,Narela
228,Begumpur Village,F,3,161,Malviya Nagar,"Rs. 56,640 Per Square Meter",56640,South
229,Begum Pur Village,H,7,27,Begumpur,"Rs. 23,280 Per Square Meter",23280,Narela
230,Behari Pur,H,2,272,Sadatpur Gujran,"Rs. 23,280 Per Square Meter",23280,Shahadra North
231,Behlolpur Bangar,F,5,153,Daryaganj,"Rs. 56,640 Per Square Meter",56640,City
232,"Behlol Pur Colony, Maharani Bagh",F,4,193,Sriniwaspuri,"Rs. 56,640 Per Square Meter",56640,Central
233,"Bengali Colony, Burari",G,6,6,Mukund Pur,Rs. 46200 Per Square Meter,46200,Civil Line
234,Beri wala Bagh,F,10,111,Hari Nagar,"Rs. 56,640 Per Square Meter",56640,West
235,Ber Sarai,E,3,161,Malviya Nagar,"Rs. 70,070 Per Square Meter",70070,South
236,Bhagat Enclave,G,10,128,Bindapur,Rs. 46200 Per Square Meter,46200,West
237,Bhagat Singh Colony,G,2,271,Karawal Nagar West,Rs. 46200 Per Square Meter,46200,Shahadra North
238,Bhagat Singh Enclave,F,10,101,Raja Garden,"Rs. 56,640 Per Square Meter",56640,West
239,Bhagat Singh Park,G,6,18,Libas Pur,Rs. 46200 Per Square Meter,46200,Civil Line
240,Bhagat Vihar,G,2,271,Karawal Nagar West,Rs. 46200 Per Square Meter,46200,Shahadra North
241,Bhagat Vihar Karawal Nagar,G,2,265,Shiv Vihar,Rs. 46200 Per Square Meter,46200,Shahadra North
242,Bhagirathi Vihar,G,2,261,Jiwanpur,Rs. 46200 Per Square Meter,46200,Shahadra North
243,Bhagwan Das Nagar,D,10,99,Moti Nagar,"Rs. 1,27,680 Per Square Meter",127680,West
244,Bhagwan Das Nagar Extn.,E,10,99,Moti Nagar,"Rs. 70,070 Per Square Meter",70070,West
245,Bhagwan Nagar,E,4,156,Bhogal,"Rs. 70,070 Per Square Meter",70070,Central
246,"Bhagwan Park, Jharoda Mazra",G,6,8,Jharoda,Rs. 46200 Per Square Meter,46200,Civil Line
247,Bhagwanpur Khera,G,2,247,Ram Nagar,Rs. 46200 Per Square Meter,46200,Shahadra North
248,Bhagwati Garden,G,10,125,Mohan Garden,Rs. 46200 Per Square Meter,46200,West
249,Bhagwati Vihar,G,10,128,Bindapur,Rs. 46200 Per Square Meter,46200,West
250,Bhagya Vihar,G,7,34,Nithari,Rs. 46200 Per Square Meter,46200,Narela
251,Bhai Parmanand Nagar,E,6,11,Mukherjee Nagar,"Rs. 70,070 Per Square Meter",70070,Civil Line
252,Bhajanpura,F,2,253,Ganari,"Rs. 56,640 Per Square Meter",56640,Shahadra North
253,Bhalswa Dairy,G,6,19,Bhalswa,Rs. 46200 Per Square Meter,46200,Civil Line
254,Bharat Garden Matiala Road,F,9,148,Madhu Vihar,"Rs. 56,640 Per Square Meter",56640,Nazafgarh
255,Bharat Nagar,E,8,66,Sawan Park,"Rs. 70,070 Per Square Meter",70070,Rohini
256,"Bharat Nagar, New Friends Colony",F,4,193,Sriniwaspuri,"Rs. 56,640 Per Square Meter",56640,Central
257,Bharat vihar Begum Pur Extn,G,7,27,Begumpur,Rs. 46200 Per Square Meter,46200,Narela
258,Bharat Vihar (Kakraula),G,9,135,Kakrola,Rs. 46200 Per Square Meter,46200,Nazafgarh
259,Bharat Vihar Vashisht Park,G,9,132,Sagarpur West,Rs. 46200 Per Square Meter,46200,Nazafgarh
260,Bharaula,G,6,15,Sarai Pipal Thala,Rs. 46200 Per Square Meter,46200,Civil Line
261,Bharaula,G,6,15,Sarai Pipal Thala,Rs. 46200 Per Square Meter,46200,Civil Line
262,Bharthal,G,9,141,Bijwasan,Rs. 46200 Per Square Meter,46200,Nazafgarh
263,Bharti Artist Colony,D,1,228,Preet Vihar,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
264,Bhati,H,3,175,Aya Nagar,"Rs. 23,280 Per Square Meter",23280,South
