id,colony,category,zone_no,ward_no,ward_name,rates,rates_no,zone_name
1822,Sadhana Enclave,B,3,191,Shahpur Jat,"Rs. 2,45,520 Per Square Meter",245520,South
1823,Sadiq Nagar,D,4,159,Adnisganj,"Rs. 1,27,680 Per Square Meter",127680,Central
1824,Safdarjang Dev Area,B,3,163,Safdarjang Enclave,"Rs. 2,45,520 Per Square Meter",245520,South
1825,Safdarjang Enclave,B,3,163,Safdarjang Enclave,"Rs. 2,45,520 Per Square Meter",245520,South
1826,Sahibpura,F,10,116,Vikaspuri East,"Rs. 56,640 Per Square Meter",56640,West
1827,Sahipur Village,G,8,55,Shalimar Bagh North,Rs. 46200 Per Square Meter,46200,Rohini
1828,Sahupura,G,9,140,Khera,Rs. 46200 Per Square Meter,46200,Nazafgarh
1829,Sahyog Vihar,F,9,148,Madhu Vihar,"Rs. 56,640 Per Square Meter",56640,Nazafgarh
1830,"Sai Enclave, Roshanpura",G,9,134,Nangli Sakravati,Rs. 46200 Per Square Meter,46200,Nazafgarh
1831,Saini Enclave,D,1,225,Anand Vihar,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
1832,Sainik Enclave(Uttam Nagar),G,10,121,Kanwar Singh Nagar,Rs. 46200 Per Square Meter,46200,West
1833,Sainik Farm,D,3,181,Khanpur,"Rs. 1,27,680 Per Square Meter",127680,South
1834,"Sainik Nagar, Uttam Nagar",G,9,136,Matiala,Rs. 46200 Per Square Meter,46200,Nazafgarh
1835,Sainik Nagar(Uttam Nagar),G,10,121,Kanwar Singh Nagar,Rs. 46200 Per Square Meter,46200,West
1836,Sainik Vihar,D,8,59,Rani Bagh,"Rs. 1,27,680 Per Square Meter",127680,Rohini
1837,"Sainik Vihar, Mohan Garden",G,10,121,Kanwar Singh Nagar,Rs. 46200 Per Square Meter,46200,West
1838,Saini Vihar,G,10,43,Nangloi East,Rs. 46200 Per Square Meter,46200,West
1839,Saiyad Ul Ajaib Extn,F,3,173,Said-ul-Ajaib,"Rs. 56,640 Per Square Meter",56640,South
1840,Saiyad Ul Ajaib Village,H,3,173,Said-ul-Ajaib,"Rs. 23,280 Per Square Meter",23280,South
1841,Sakdarpur,F,2,245,Durga Puri,"Rs. 56,640 Per Square Meter",56640,Shahadra North
1842,Saket,C,3,169,Lado Sarai,"Rs. 1,59,840 Per Square Meter",159840,South
1843,Saket Block,G,1,218,Mandawali,Rs. 46200 Per Square Meter,46200,Shahadra South
1844,Salah Pur Majra,H,7,27,Begumpur,"Rs. 23,280 Per Square Meter",23280,Narela
1845,Salah Pur Village,H,9,141,Bijwasan,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
1846,Salatpur Khadak,F,10,117,Janak Puri West,"Rs. 56,640 Per Square Meter",56640,West
1847,Salempur Majra Burari Colony,G,6,7,Burari,Rs. 46200 Per Square Meter,46200,Civil Line
1848,Sama Garden,D,12,150,Sat Nagar,"Rs. 1,27,680 Per Square Meter",127680,Karol Bagh
1849,Samaspur Extn,F,1,220,Patparganj,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1850,Samay Vihar,E,8,50,Rohini Central,"Rs. 70,070 Per Square Meter",70070,Rohini
1851,Sambhalka Village,H,9,143,Kapashera,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
1852,Samrat Encl,D,8,63,Kohat Enclave,"Rs. 1,27,680 Per Square Meter",127680,Rohini
1853,"Samrat Encl, Najafgarh",G,9,134,Nangli Sakravati,Rs. 46200 Per Square Meter,46200,Nazafgarh
1854,Sandesh Vihar,D,8,63,Kohat Enclave,"Rs. 1,27,680 Per Square Meter",127680,Rohini
1855,Sangam Park,D,6,71,Sangam Park,"Rs. 1,27,680 Per Square Meter",127680,Civil Line
1856,Sangam Vihar,G,3,179,Tigri,Rs. 46200 Per Square Meter,46200,South
1857,"Sangam Vihar at M.B. Road, Wazirabad",G,6,8,Jharoda,Rs. 46200 Per Square Meter,46200,Civil Line
1858,Sangarpur,H,7,4,Bakhtawarpur,"Rs. 23,280 Per Square Meter",23280,Narela
1859,Sanjay Amar Colony,F,5,154,Nizamuddin,"Rs. 56,640 Per Square Meter",56640,City
1860,Sanjay Colony Bhatti Mines,G,3,175,Aya Nagar,Rs. 46200 Per Square Meter,46200,South
1861,Sanjay Colony Narela,G,7,1,Narela,Rs. 46200 Per Square Meter,46200,Narela
1862,Sanjay Colony (Okhla),G,4,200,Harkesh Nagar,Rs. 46200 Per Square Meter,46200,Central
1863,Sanjay Enclave,G,6,15,Sarai Pipal Thala,Rs. 46200 Per Square Meter,46200,Civil Line
1864,Sanjay Enclave (Uttam Nagar),G,9,148,Madhu Vihar,Rs. 46200 Per Square Meter,46200,Nazafgarh
1865,Sanjay Gandhi Transport Nagar,E,6,17,Samaypur Badli,"Rs. 70,070 Per Square Meter",70070,Civil Line
1866,Sanjay Mohalla,F,2,256,Yamuna Vihar,"Rs. 56,640 Per Square Meter",56640,Shahadra North
1867,Sanjay Nagar Bawana Extn.,G,7,28,Bawana,Rs. 46200 Per Square Meter,46200,Narela
1868,Sanjay Nagar (Jahangirpuri),G,6,15,Sarai Pipal Thala,Rs. 46200 Per Square Meter,46200,Civil Line
1869,Sanjay Nagar Near Gulabi Bagh,E,11,73,Shastri Nagar,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
1870,Sanoth,H,7,3,Alipur,"Rs. 23,280 Per Square Meter",23280,Narela
1871,Sanskrit Nagar,E,8,51,Rohini East,"Rs. 70,070 Per Square Meter",70070,Rohini
1872,Santgarh,F,10,115,Major Bhupinde Singh Nagar,"Rs. 56,640 Per Square Meter",56640,West
1873,Sant Nagar,D,4,192,Greater Kailash I,"Rs. 1,27,680 Per Square Meter",127680,Central
1874,Sant Nagar (Burari),G,6,8,Jharoda,Rs. 46200 Per Square Meter,46200,Civil Line
